dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,LapNumber
0.0,3.2167108,0.0,1.4665821,5.39751,0.93953335,1.9530506,4.3366623,2.5400221,4.3181233,0.0,2.96233,2.8288221,0.0,0.03713447,0.0,0.0,0.10209102,0.0,4.3930187,1.0135381,2.1584797,2.7035108,3.1123533,0.0,0.0,0.0,0.0,3.374444,4.3032184,4.1112094,0.20277795,ALO,45.0
0.0,2.9611328,0.0,1.5739783,5.1117,0.76816297,1.6096885,3.8155103,2.150193,4.105727,0.0,2.196543,2.7517865,0.0,0.0,0.0,0.0,0.0,0.0,4.4675484,1.0101486,2.3797581,2.1478066,3.4882495,0.0,0.0,0.0,0.0,3.5133998,3.7786129,4.316802,0.09100279,ALO,46.0
0.0,3.3461685,0.0,1.3845371,5.3762164,0.91094416,2.064633,4.401998,2.1941392,4.292814,0.0,2.5745628,3.1127434,0.0,0.0,0.0,0.0,0.0,0.0,4.707717,0.82380307,2.520074,2.5830388,3.3704572,0.0,0.0,0.0,0.0,3.601978,4.093074,4.3689885,0.0,ALO,47.0
0.0,2.6594536,0.0,1.7807305,4.694918,0.50980526,1.6848176,3.6671996,1.9288796,3.7908626,0.12220214,1.9231112,2.7714913,0.0,0.0,0.0,0.0,0.0,0.0,4.3979445,1.145458,2.5812595,1.9300426,3.7648647,0.0,0.0,0.0,0.0,3.5884175,3.4512625,4.388699,0.16638918,ALO,48.0
0.0,2.9737134,0.0,1.873664,5.2760296,0.61382675,1.6402763,3.8851678,2.0837026,4.2728105,0.0,1.9429301,2.9589057,0.0,0.0,0.0,0.0,0.0,0.0,4.830579,1.2363652,2.759356,2.0781178,4.0873175,0.0,0.0,0.0,0.0,3.9078743,3.8046932,4.7935324,0.11546433,ALO,49.0
0.0,3.2198756,0.0,1.7187722,5.382981,0.8075533,1.8023624,4.1712594,2.2954776,4.265264,0.0,2.370623,2.9648893,0.0,0.0,0.0,0.0,0.0,0.0,4.9858084,1.0263015,2.7923403,2.2537286,3.854368,0.0,0.0,0.0,0.0,3.941474,3.9327736,4.760748,0.049228664,ALO,50.0
0.0,3.079708,0.0,1.7324079,5.245716,0.7250824,1.8022894,4.0670543,2.2119906,4.204267,0.0,2.2868583,2.93633,0.0,0.0,0.0,0.0,0.0,0.0,4.79126,1.0987306,2.6877592,2.243973,3.7947674,0.0,0.0,0.0,0.0,3.800955,3.8834972,4.621502,0.08452455,ALO,51.0
0.0,2.914543,0.0,1.8498783,5.076354,0.5134525,1.9072198,4.014486,2.012049,4.056432,0.07135761,2.0658286,3.054862,0.0,0.0,0.0,0.0,0.0,0.0,4.8118277,1.197632,2.8815677,2.2202652,4.016911,0.0,0.0,0.0,0.0,3.8764303,3.6693723,4.7366295,0.04951017,ALO,52.0
0.0,3.128989,0.0,1.75074,5.2626896,0.70617414,1.8437082,4.095893,2.1865172,4.198741,0.0,2.225707,2.9927106,0.0,0.0,0.0,0.0,0.0,0.0,4.9408817,1.0974412,2.834467,2.2134979,3.9260736,0.0,0.0,0.0,0.0,3.9252589,3.847163,4.754778,0.011695966,ALO,53.0
0.0,2.7086027,0.0,1.9508228,4.8167458,0.44361478,1.7602919,3.773691,2.0454946,3.8289824,0.3857801,1.9550686,2.7849808,0.0,0.0,0.0,0.0,0.0,0.0,4.7234087,1.2626657,2.8844066,1.9213505,4.1300187,0.0,0.0,0.0,0.0,3.9074867,3.4819841,4.6869574,0.2464869,ALO,54.0
0.0,2.443704,0.0,1.6371706,4.438226,0.3314028,2.019655,3.7348375,1.6040906,3.5444226,0.00405607,1.8801911,2.9548376,0.0,0.0,0.0,0.0,0.0,0.0,4.118457,1.0494623,2.5430756,2.1651611,3.522743,0.0,0.0,0.0,0.0,3.3361547,3.2250495,4.143367,0.0,ALO,55.0
0.0,2.833014,0.0,1.8173261,4.9231052,0.5461231,1.7841427,3.8508427,2.0329976,3.9290123,0.1497294,2.0461853,2.8358686,0.0,0.0,0.0,0.0,0.0,0.0,4.719658,1.173221,2.8048406,2.0816605,3.9132624,0.0,0.0,0.0,0.0,3.8059244,3.5610504,4.5994225,0.122151665,ALO,56.0
0.0,2.951095,0.0,1.6931813,5.023157,0.5768866,1.9916475,4.074414,1.9517531,3.9915123,0.0,2.1237123,3.0513692,0.0,0.0,0.0,0.0,0.0,0.0,4.730461,1.015794,2.812961,2.1977384,3.8403609,0.0,0.0,0.0,0.0,3.782595,3.6547883,4.6148214,0.0,ALO,57.0
0.0,2.9289668,0.0,1.4291852,4.6981483,1.2745887,1.1318461,3.6014373,4.1422534,3.7546926,0.14418164,4.6699233,0.5436548,0.0,2.2386918,0.0,0.0,1.4547282,0.0,2.9514894,1.4953154,0.62220573,3.1623158,1.2295786,0.0,0.0,1.9842908,0.0,2.218367,4.7753243,2.0772302,1.8312519,HAM,1.0
0.0,3.7353826,0.0,0.12829265,5.03816,2.0582335,1.698023,4.5391793,4.0270486,3.933214,0.0,5.5716834,1.0376132,0.0,1.3046526,0.0,0.0,1.1689512,0.0,2.710439,0.3125691,0.0,3.8977618,0.0,0.0,0.0,1.1746631,0.0,1.4966918,5.2516227,1.2563426,0.8196056,HAM,2.0
0.0,4.307016,0.0,0.0,5.373854,2.3650062,2.48162,5.4602942,4.080289,4.0688467,0.0,6.206437,1.5728846,0.0,1.0988358,0.0,0.0,0.8292771,0.0,3.1442332,0.0,0.19408126,4.2350135,0.0,0.0,0.0,0.9369599,0.0,1.6870592,5.618681,1.4575866,0.32461008,HAM,3.0
0.0,4.573675,0.0,0.0,5.7163987,2.5614884,2.2238948,5.5011773,4.5155015,4.3708477,0.0,6.608143,1.2740529,0.0,1.1716256,0.0,0.0,0.93818814,0.0,3.2092736,0.0,0.0,4.516204,0.0,0.0,0.0,0.95893306,0.0,1.6685226,5.985907,1.3044434,0.5424348,HAM,4.0
0.0,4.2469654,0.0,0.0,5.405388,2.288327,2.1679974,5.18151,4.0113926,4.161839,0.0,5.813176,1.5215365,0.0,0.86583495,0.0,0.0,0.7241889,0.0,3.2562237,0.0,0.2715144,4.0237985,0.0,0.0,0.0,0.66709536,0.0,1.8304677,5.492293,1.6400521,0.37321025,HAM,5.0
